,title,author,price,genre,description,image,likes
0,EL HECHIZO DEL AGUA,"BONELLI, FLORENCIA",2.90,1,no description,https://www.tematika.com/el-hechizo-del-agua-9789504975847.html,0
1,"PERRERIAS DE MIKE 1, LAS ...","MIKECRACK, EL TR...",2.70,1,no description,https://www.tematika.com/perrerias-de-mike-1-las-mikecrack-y-la-estrella-m-9789508701947.html,0
2,EL MAPA DE LOS ANHELOS,"KELLEN, ALICE",2.80,1,no description,https://www.tematika.com/el-mapa-de-los-anhelos-9789504975762.html,0
3,LOS SIETE MARIDOS DE EVELYN HUGO,"JENKINS REID, TAYLOR",2.69,1,no description,https://www.tematika.com/los-siete-maridos-de-evelyn-hugo-9789874777737.html,0
4,VINCULEAR,"CE, CECILIA",2.80,1,no description,https://www.tematika.com/vinculear-9789504974345.html,0
5,REINO DE PAPEL,"RESCO, VICTORIA",1.79,1,no description,https://www.tematika.com/reino-de-papel-9789877477986.html,0
6,CALLES,"PIGNA, FELIPE",2.70,1,no description,https://www.tematika.com/calles-9789504973140.html,0
7,UNA HERMANA ANORMAL Y UN ...,"VALLEJOS, MELINA",1.39,1,no description,https://www.tematika.com/una-hermana-anormal-y-un-viaje-inespera-9789877363579.html,0
8,HEARTSTOPPER,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/heartstopper-9789877475876.html,0
9,AL FINAL MUEREN LOS DOS,"SILVERA, ADAM",2.35,1,no description,https://www.tematika.com/al-final-mueren-los-dos-9789874132017.html,0
10,HEARTSTOPPER 2,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/heartstopper-2-9789877476583.html,0
11,HP1PIEDRA FILOSOFAL (CS)(TB)(2020),"ROWLING, J. K.",2.64,1,no description,https://www.tematika.com/hp1piedra-filosofal-cstb2020-9789878000107.html,0
12,ANTES DE DICIEMBRE,"MARCUS, JOANA",3.04,1,no description,https://www.tematika.com/antes-de-diciembre-9789874924971.html,0
13,EL PELIGRO DE ESTAR CUERDA,"MONTERO, ROSA",2.50,1,no description,https://www.tematika.com/el-peligro-de-estar-cuerda-9789878319827.html,0
14,"ESTRES, SUFRIMIENTO Y FELICIDAD","LOPEZ ROSETTI, D...",2.70,1,no description,https://www.tematika.com/estres-sufrimiento-y-felicidad-9789504976172.html,0
15,HEARTSTOPPER 3,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/heartstopper-3-9789877476972.html,0
16,ESTAS PARA MAS,"DE LUCIA, DANIELA",2.25,1,no description,https://www.tematika.com/estas-para-mas-9789500212502.html,0
17,SOY UNA TONTA POR QUERERTE,"SOSA VILLADA, CAMILA",2.00,1,no description,https://www.tematika.com/soy-una-tonta-por-quererte-9789876706711.html,0
18,LAS MALAS,"SOSA VILLADA, CAMILA",2.18,1,no description,https://www.tematika.com/las-malas-9789876704816.html,0
19,HEARTSTOPPER 4,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/heartstopper-4-9789877477474.html,0
20,LOS CUATRO ACUERDOS,"RUIZ, MIGUEL",2.35,1,no description,https://www.tematika.com/los-cuatro-acuerdos-9789507880223.html,0
21,DIARIO DE UNA TEMPORADA E...,"TORRE, JUAN CARLOS",2.95,1,no description,https://www.tematika.com/diario-de-una-temporada-en-el-quinto-piso-9789876286183.html,0
22,CARAVAL,"GARBER, STEPHANIE",2.19,1,no description,https://www.tematika.com/caraval-9789874132536.html,0
23,EL DUQUE Y YO,"QUINN, JULIA",2.69,1,no description,https://www.tematika.com/el-duque-y-yo-9789874754585.html,0
24,UNA FAMILIA ANORMAL Y EL ...,LYNA VALLEJOS,1.47,1,no description,https://www.tematika.com/una-familia-anormal-y-el-cruce-de-los-u-9789877363326.html,0
25,"BRUJA BLANCA, LA ASESINO...","MAHURIN, SHELBY",2.39,1,no description,https://www.tematika.com/bruja-blanca-la-asesino-de-brujas-1-9789874132390.html,0
26,"ROJO, BLANCO Y SANGRE AZUL","MCQUISTON, CASEY",2.89,1,no description,https://www.tematika.com/rojo-blanco-y-sangre-azul-9789878120232.html,0
27,"PODER DEL AHORA, EL (DB)","TOLLE, ECKHART",2.14,1,no description,https://www.tematika.com/poder-del-ahora-el-db-9789877250992.html,0
28,EL MONJE QUE VENDIO SU FERRARI,"SHARMA, ROBIN S.",2.14,1,no description,https://www.tematika.com/el-monje-que-vendio-su-ferrari-9789875665613.html,0
29,CUENTOS CORTOS PARA SOÑAR 5,"ACUÑA, LOLY / ZI...",1.10,1,no description,https://www.tematika.com/cuentos-cortos-para-sonar-5-9789500212489.html,0
30,(MAL) EDUCADAS,"FREIJO, MARIA FL...",2.10,1,no description,https://www.tematika.com/mal-educadas-9789504971290.html,0
31,RED LA NOVELA,DISNEY,1.90,1,no description,https://www.tematika.com/red-la-novela-9789504976486.html,0
32,EL ATENEO GRAND SPLENDID ...,ANONIMO,"200,",1,no description,https://www.tematika.com/el-ateneo-grand-splendid-una-libreria-unica-en-el-mundo-9789874733108.html,0
33,VIVA LA CASA LOCA (THE LO...,NICKELODEON,1.09,1,no description,https://www.tematika.com/viva-la-casa-loca-the-loud-house-8-9789877363616.html,0
34,LOVELESS,"OSEMAN, ALICE",2.29,1,no description,https://www.tematika.com/loveless-9789877477993.html,0
35,EL ITALIANO,"PEREZ-REVERTE, A...",3.79,1,no description,https://www.tematika.com/el-italiano-9789877388176.html,0
36,EL DIA QUE DEJO DE NEVAR EN ALASKA,"KELLEN, ALICE",2.79,1,no description,https://www.tematika.com/el-dia-que-dejo-de-nevar-en-alaska-9789874754561.html,0
37,MI DIARIO SECRETO ROSA,EDITORIAL GUADAL...,2.49,1,no description,https://www.tematika.com/mi-diario-secreto-rosa-9789877973143.html,0
38,EL PRINCIPITO,DE SAINT-EXUPERY...,1.92,1,no description,https://www.tematika.com/el-principito-9789500299114.html,0
39,EL CAMINO DEL LIBERTARIO,"MILEI, JAVIER",2.49,1,no description,https://www.tematika.com/el-camino-del-libertario-9789504974567.html,0
