,title,author,price,genre,description,image,likes
0,EL HECHIZO DEL AGUA,"BONELLI, FLORENCIA",2.90,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693343.jpg,0
1,"PERRERIAS DE MIKE 1, LAS ...","MIKECRACK, EL TR...",2.70,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693544.jpg,0
2,EL MAPA DE LOS ANHELOS,"KELLEN, ALICE",2.80,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693471.jpg,0
3,LOS SIETE MARIDOS DE EVELYN HUGO,"JENKINS REID, TAYLOR",2.69,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/679908.jpg,0
4,VINCULEAR,"CE, CECILIA",2.80,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693464.jpg,0
5,REINO DE PAPEL,"RESCO, VICTORIA",1.79,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/691143.jpg,0
6,CALLES,"PIGNA, FELIPE",2.70,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693455.jpg,0
7,UNA HERMANA ANORMAL Y UN ...,"VALLEJOS, MELINA",1.39,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/691645.jpg,0
8,HEARTSTOPPER,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/673905.jpg,0
9,AL FINAL MUEREN LOS DOS,"SILVERA, ADAM",2.35,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/646539.jpg,0
10,HEARTSTOPPER 2,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/678258.jpg,0
11,HP1PIEDRA FILOSOFAL (CS)(TB)(2020),"ROWLING, J. K.",2.64,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/676274.jpg,0
12,ANTES DE DICIEMBRE,"MARCUS, JOANA",3.04,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/690124.jpg,0
13,EL PELIGRO DE ESTAR CUERDA,"MONTERO, ROSA",2.50,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693461.jpg,0
14,"ESTRES, SUFRIMIENTO Y FELICIDAD","LOPEZ ROSETTI, D...",2.70,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693454.jpg,0
15,HEARTSTOPPER 3,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/683026.jpg,0
16,ESTAS PARA MAS,"DE LUCIA, DANIELA",2.25,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/691781.jpg,0
17,SOY UNA TONTA POR QUERERTE,"SOSA VILLADA, CAMILA",2.00,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692094.jpg,0
18,LAS MALAS,"SOSA VILLADA, CAMILA",2.18,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/660932.jpg,0
19,HEARTSTOPPER 4,"OSEMAN, ALICE",1.59,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/687130.jpg,0
20,LOS CUATRO ACUERDOS,"RUIZ, MIGUEL",2.35,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/459487.jpg,0
21,DIARIO DE UNA TEMPORADA E...,"TORRE, JUAN CARLOS",2.95,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/686601.jpg,0
22,CARAVAL,"GARBER, STEPHANIE",2.19,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/687214.jpg,0
23,EL DUQUE Y YO,"QUINN, JULIA",2.69,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/681783.jpg,0
24,UNA FAMILIA ANORMAL Y EL ...,LYNA VALLEJOS,1.47,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/683823.jpg,0
25,"BRUJA BLANCA, LA ASESINO...","MAHURIN, SHELBY",2.39,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/681830.jpg,0
26,"ROJO, BLANCO Y SANGRE AZUL","MCQUISTON, CASEY",2.89,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/687955.jpg,0
27,"PODER DEL AHORA, EL (DB)","TOLLE, ECKHART",2.14,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/595822.jpg,0
28,EL MONJE QUE VENDIO SU FERRARI,"SHARMA, ROBIN S.",2.14,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/508491.jpg,0
29,CUENTOS CORTOS PARA SOÑAR 5,"ACUÑA, LOLY / ZI...",1.10,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692882.jpg,0
30,(MAL) EDUCADAS,"FREIJO, MARIA FL...",2.10,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/677963.jpg,0
31,RED LA NOVELA,DISNEY,1.90,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/693546.jpg,0
32,EL ATENEO GRAND SPLENDID ...,ANONIMO,"200,",1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/668248.jpg,0
33,VIVA LA CASA LOCA (THE LO...,NICKELODEON,1.09,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692996.jpg,0
34,LOVELESS,"OSEMAN, ALICE",2.29,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692194.jpg,0
35,EL ITALIANO,"PEREZ-REVERTE, A...",3.79,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/687495.jpg,0
36,EL DIA QUE DEJO DE NEVAR EN ALASKA,"KELLEN, ALICE",2.79,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/682457.jpg,0
37,MI DIARIO SECRETO ROSA,EDITORIAL GUADAL...,2.49,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692506.jpg,0
38,EL PRINCIPITO,DE SAINT-EXUPERY...,1.92,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/617598.jpg,0
39,EL CAMINO DEL LIBERTARIO,"MILEI, JAVIER",2.49,1,no description,https://www.tematika.com/media/catalog/Ilhsa/Imagenes/692057.jpg,0
